DB Entrez Gene IDA	DB CCSB ORF ID	DB Accession	AD Entrez Gene ID	AD CCSB ORF ID	AD Accession	Trial
221458	1699	BC022074.2	10513	820	BC018121.1	2
81570	5003	BC006404.2	4188	5143	BC007836.2	2
125170	7599	BC014973.1	10567	4757	BC008950.2	2
8503	2486	BC021622.1	51562	5480	BC005197.1	2
79873	2532	BC016902.1	115704	7367	BC014111.2	2
6297	1683	BC024245.2	54507	9414	BC027478.1	2
7695	5106	BC006421.1	4188	5143	BC007836.2	2
65005	4385	BC004517.2	6303	5768	BC008424.1	2
65265	6838	BC010001.2	4188	5143	BC007836.2	2
5155	9318	BC029822.1	4188	5143	BC007836.2	2
55272	4590	BC006487.1	23582	100	BC009689.1	2
1412	4852	BC006285.2	9319	4664	BC000404.2	2
79666	6953	BC011806.2	1854	10082	BC033645.1	2
79873	2532	BC016902.1	10567	4757	BC008950.2	2
93474	5629	BC005360.1	4188	5143	BC007836.2	2
11135	6819	BC009356.2	4188	5143	BC007836.2	2
84733	4279	BC004252.1	4188	5143	BC007836.2	2
79797	252	BC015708.2	23641	3434	BC003104.1	2
3927	5231	BC007560.1	9319	4664	BC000404.2	2
5515	4071	BC002657.2	9319	4664	BC000404.2	2
79666	6953	BC011806.2	26511	2645	BC034691.1	2
10567	4757	BC008950.2	10567	4757	BC008950.2	2
9454	7127	BC012113.1	51225	4982	BC007780.2	2
79169	4173	BC002843.2	80321	1596	BC030598.2	2
2009	9986	BC032541.1	81875	7964	BC000575.2	2
132158	814	BC021896.1	9319	4664	BC000404.2	2
5090	1078	BC016977.1	10567	4757	BC008950.2	2
1535	9595	BC028224.1	4188	5143	BC007836.2	2
578	3801	BC004431.1	598	5989	BC019307.1	2
60491	4562	BC007654.2	51074	5696	BC008440.1	2
63898	6155	BC014525.2	6455	1845	BC001270.1	2
665	2427	BC001559.1	664	7547	BC021989.1	2
140462	2763	BC001244.1	1152	3341	BC010002.2	2
57325	5281	BC007537.1	51562	5480	BC005197.1	2
6616	2998	BC010647.1	51019	6319	BC010889.1	2
3219	6243	BC015565.1	6303	5768	BC008424.1	2
3927	5231	BC007560.1	4188	5143	BC007836.2	2
84171	8976	BC007522.1	9319	4664	BC000404.2	2
11201	10037	BC032662.1	373	1227	BC022510.1	2
55049	7266	BC012078.1	4188	5143	BC007836.2	2
9513	989	BC020090.1	4830	3125	BC000293.2	2
79873	2532	BC016902.1	10606	2375	BC010273.1	2
5601	10051	BC032539.1	409	4645	BC007427.2	2
3219	6243	BC015565.1	4188	5143	BC007836.2	2
116071	7211	BC012330.1	9802	3598	BC002334.2	2
57326	128	BC016852.1	4188	5143	BC007836.2	2
22800	998	BC013106.1	9610	7142	BC014417.1	2
56341	1137	BC022458.1	56341	1137	BC022458.1	2
3603	8787	BC040272.1	2553	2126	BC036080.1	2
8500	1152	BC034046.1	80321	1596	BC030598.2	2
80028	8824	BC013435.1	4188	5143	BC007836.2	2
10617	4785	BC007682.1	9319	4664	BC000404.2	2
51298	1361	BC028574.2	4188	5143	BC007836.2	2
5682	442	BC015356.1	25788	9795	BC033710.2	2
5708	3990	BC002368.2	5700	4018	BC000512.2	2
51074	3056	BC009077.1	51074	5696	BC008440.1	2
56478	1881	BC033028.1	2224	6843	BC010004.2	2
149371	10122	BC035763.1	80258	2098	BC031039.1	2
56000	9232	BC031616.1	29107	936	BC003410.1	2
157773	2211	BC031245.1	4188	5143	BC007836.2	2
9587	4424	BC002904.2	9319	4664	BC000404.2	2
10024	10032	BC032583.1	373	1227	BC022510.1	2
57097	2185	BC031073.1	9319	4664	BC000404.2	2
9513	989	BC020090.1	5805	145	BC009686.1	2
55166	192	BC016279.1	79173	2678	BC012945.1	2
27229	5836	BC012801.2	8216	2594	BC026214.1	2
79666	6953	BC011806.2	64769	7537	BC016328.1	2
25788	9795	BC033710.2	25788	9795	BC033710.2	2
79797	252	BC015708.2	4188	5143	BC007836.2	2
5152	3048	BC009047.1	22954	3878	BC003154.1	2
51562	7531	BC016821.1	51562	7531	BC016821.1	2
7376	5125	BC007790.1	4188	5143	BC007836.2	2
54932	8707	BC039252.1	9802	3598	BC002334.2	2
130940	8656	BC015395.1	6303	5768	BC008424.1	2
10617	4785	BC007682.1	10254	1863	BC028740.2	2
60491	4562	BC007654.2	25788	9795	BC033710.2	2
573	413	BC014774.1	373	1227	BC022510.1	2
57325	5281	BC007537.1	51562	7531	BC016821.1	2
27229	5836	BC012801.2	5987	152	BC013580.1	2
9726	9991	BC035589.1	4188	5143	BC007836.2	2
84988	5175	BC007854.2	7205	4104	BC002680.2	2
55093	4786	BC008781.2	3728	7110	BC011865.2	2
79873	2532	BC016902.1	26151	4030	BC004225.2	2
63898	6155	BC014525.2	28988	9440	BC031687.1	2
2242	9223	BC035357.1	4188	5143	BC007836.2	2
9491	9264	BC029836.1	57144	1317	BC024179.1	2
9513	989	BC020090.1	23204	2374	BC010281.1	2
55093	4786	BC008781.2	3251	7982	BC000578.2	2
2947	4789	BC008790.2	2947	3605	BC000088.2	2
9363	3623	BC009996.2	10567	4757	BC008950.2	2
140462	2763	BC001244.1	55662	4949	BC007719.2	2
7408	9628	BC038224.1	6303	5768	BC008424.1	2
9356	9809	BC033682.1	10513	820	BC018121.1	2
79666	6953	BC011806.2	10567	4757	BC008950.2	3
81570	5003	BC006404.2	4188	5143	BC007836.2	3
84171	8976	BC007522.1	9319	4664	BC000404.2	3
54472	381	BC018272.1	9802	3598	BC002334.2	3
5155	9318	BC029822.1	4188	5143	BC007836.2	3
2009	9986	BC032541.1	81875	7964	BC000575.2	3
55093	4786	BC008781.2	9319	4664	BC000404.2	3
79666	6953	BC011806.2	51562	7531	BC016821.1	3
10445	6901	BC011794.2	65056	8848	BC000267.1	3
79873	2532	BC016902.1	10567	4757	BC008950.2	3
51562	7531	BC016821.1	51562	7531	BC016821.1	3
27229	5836	BC012801.2	80258	2098	BC031039.1	3
27229	5836	BC012801.2	54507	9414	BC027478.1	3
10567	4757	BC008950.2	10567	4757	BC008950.2	3
84872	7896	BC018708.1	9802	3598	BC002334.2	3
3603	8787	BC040272.1	2553	2126	BC036080.1	3
