gene_0	gene_1	sources	unbiased
25	2534	3	0
25	2547	2	0
25	2550	3	0
25	2571	3	0
25	2799	3	0
25	2810	1	0
25	2876	3	0
25	2885	4	0
25	2887	1	0
25	2889	3	0
25	2906	2	0
25	2954	2	0
25	2971	3	0
25	3055	2	0
25	3073	3	0
25	3224	3	0
25	3326	1	0
25	3636	2	0
25	3689	1	0
25	3716	2	0
25	3717	2	0
25	3725	2	0
25	3815	2	0
25	3980	3	0
25	4007	3	0
25	4036	3	0
25	4053	3	0
25	4137	1	0
25	4193	1	0
25	4253	3	0
25	4288	3	0
25	4439	2	0
25	4582	2	0
25	4690	4	0
25	4739	2	0
25	4854	3	0
25	4914	3	0
25	4969	3	0
25	4998	3	0
25	5027	3	0
25	5052	4	0
25	5062	2	0
25	5077	3	0
25	5144	2	0
25	5295	4	0
25	5310	2	0
25	5335	4	0
25	5359	1	0
25	5424	3	0
25	5430	2	0
25	5530	3	0
25	5580	1	0
25	5587	2	0
25	5591	2	0
25	5770	3	0
25	5775	3	0
25	5777	2	0
25	5782	2	0
25	5829	2	0
25	5883	2	0
25	5888	2	0
25	5893	2	0
25	5901	2	0
25	5921	2	0
25	5925	2	0
25	5989	2	0
25	6091	1	0
25	6098	2	0
25	6452	2	0
25	6461	1	0
25	6464	1	0
25	6549	2	0
25	6581	3	0
25	6654	1	0
25	6655	3	0
25	6667	3	0
25	6700	1	0
25	6708	1	0
25	6709	2	0
25	6714	4	0
25	6733	1	0
25	6764	2	0
25	6792	3	0
25	7013	2	0
25	7015	1	0
25	7080	3	0
25	7112	3	0
25	7150	1	0
25	7157	2	0
25	7161	2	0
25	7189	2	0
25	7275	2	0
25	7409	4	0
25	7441	3	0
25	7514	1	0
25	7529	2	0
25	7531	2	0
25	7532	1	0
25	7533	2	0
25	7534	2	0
25	7535	2	0
25	8470	2	0
25	8482	3	0
25	8506	3	0
25	8529	3	0
25	8601	3	0
25	8646	3	0
25	8724	3	0
25	8751	2	0
25	8871	3	0
25	8933	2	0
25	8936	3	0
25	8976	1	0
25	9046	1	0
25	9051	3	0
25	9054	3	0
25	9187	3	0
25	9228	3	0
25	9229	3	0
25	9282	3	0
25	9472	3	0
25	9564	2	0
25	9569	3	0
25	9610	3	0
25	9744	3	0
25	9757	3	0
25	9784	3	0
25	9793	3	0
25	9820	3	0
25	9826	3	0
25	9908	3	0
25	10006	4	0
25	10021	3	0
25	10152	2	0
25	10174	3	0
25	10236	3	0
25	10262	3	0
25	10278	3	0
25	10413	1	0
25	10557	3	0
25	10580	2	0
25	10618	2	0
25	10750	1	0
25	10971	1	0
25	11176	3	0
25	11183	2	0
25	11184	4	0
25	11248	3	0
25	11250	3	0
25	11334	2	0
25	22839	2	0
25	22999	3	0
25	23002	2	0
25	23114	2	0
25	23136	3	0
25	23230	3	0
25	23385	2	0
25	23429	2	0
25	23607	3	0
25	23616	2	0
25	25920	3	0
25	26052	3	0
25	26469	2	0
25	26960	3	0
25	27120	3	0
25	27154	3	0
25	29886	3	0
25	29934	3	0
25	50807	3	0
25	50937	2	0
25	51428	3	0
25	51466	2	0
25	51517	3	0
25	55114	2	0
25	55321	3	0
25	55824	3	0
25	56141	3	0
25	56658	3	0
25	56955	3	0
25	56961	3	0
